,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
2020/10/03 09:00:00+00,5.800000,26.500000,13,32.200000,154.400000,141.300000,8.100000,9.500000,68.900000,164.700000,95.200000,6.700000,17.100000,45.200000,4.700000,10.500000,5.800000,16.500000,3.500000,8.400000,6.500000,2.100000,7.800000,2.400000,7.800000,7.400000,5.300000,7.700000,4.900000,5.900000,0.500000,0.300000,7.800000,3.700000,41.600000,2,5.700000,4.100000,72.500000,5.800000,6637
2020/10/03 10:00:00+00,3.700000,35.100000,13.700000,38.200000,130.600000,114.600000,8.200000,5.400000,67.600000,135.800000,95.400000,,21.800000,34,3.800000,7.400000,5.200000,11.500000,2.700000,5.500000,4.900000,1.600000,6.700000,3.100000,4.700000,6.200000,3.500000,5.300000,3.400000,4.100000,0.200000,0,4.700000,3.200000,40.500000,1.500000,4.300000,2.400000,63.100000,3.900000,6638
2020/10/03 11:00:00+00,3.100000,23.300000,9.600000,37.100000,120.200000,112.400000,6,6,59.700000,105.300000,89.300000,2.500000,24,35.200000,2.800000,4.700000,3,9.400000,1.300000,3.400000,2.700000,1.200000,2.700000,2.600000,3.700000,4.100000,2.100000,3.200000,2,3.200000,0.100000,0,3.500000,2.300000,32.600000,1.100000,3.400000,1.500000,53.600000,2.400000,6639
2020/10/03 12:00:00+00,2.200000,39.800000,7.200000,46.800000,138,128.200000,5.700000,4.700000,48.400000,109.700000,70.400000,1.800000,17,20.500000,2.100000,3.700000,2.200000,9.400000,0.900000,2.200000,2.300000,0.800000,6.200000,1.400000,2.600000,3.400000,1.400000,3,1.700000,2.900000,0.100000,0,1.800000,2,38.300000,0.900000,2.400000,0.900000,55.400000,2.600000,6640
2020/10/03 13:00:00+00,2.200000,25.200000,7.100000,48.500000,112.600000,126,5.700000,5.200000,58.500000,93.600000,72.100000,1.300000,18.700000,28.300000,2.100000,4.500000,2,10.300000,1.400000,2.100000,1.900000,0.800000,3.600000,1,3.100000,2.900000,1.300000,2.700000,1.400000,2.300000,0.200000,1.200000,1.800000,1.700000,42.900000,1.200000,2.900000,0.600000,62.300000,2,6641
2020/10/03 14:00:00+00,2.500000,28.700000,8.700000,45.300000,125.900000,104.100000,10.500000,3.900000,51.600000,92,75.800000,1.600000,19.100000,30.200000,2.500000,4.200000,1.700000,11.700000,2.100000,2.100000,2.100000,0.800000,3.800000,1.900000,2.300000,2.500000,1.200000,2.500000,1.500000,1.800000,0.100000,1.500000,2,1.200000,60.200000,1.300000,4.400000,0.800000,60.500000,1.200000,6642
2020/10/03 15:00:00+00,2.100000,28.200000,6.300000,46,138.300000,122.500000,,3.900000,56,117.800000,68.700000,1.900000,22.200000,32.700000,2.100000,5.100000,1.500000,12.300000,0.800000,2.600000,2.100000,0.800000,3.300000,1.900000,1.700000,2.600000,0.800000,1.900000,1.100000,1.900000,0.100000,0,1.400000,1.500000,76.900000,1.100000,4,0.400000,70.500000,1.200000,6643
2020/10/03 16:00:00+00,2.600000,27.200000,8.600000,63.100000,129.800000,136,,6,50.300000,112.900000,77.700000,0.800000,36.300000,30.300000,1.900000,3.600000,1.300000,14.100000,1.300000,1.300000,1.200000,0.500000,4.600000,1.100000,1.700000,2,0.700000,1.700000,0.700000,1.500000,0.100000,0,0.700000,1.800000,74.800000,0.800000,3.800000,0.200000,57.900000,1.300000,6644
2020/10/03 17:00:00+00,1.300000,50.500000,13.600000,51.300000,157.400000,133.900000,,3.800000,51.400000,153.500000,78.600000,0.500000,21.100000,31.700000,2.100000,4.600000,1,13.700000,0.900000,0.200000,1.100000,0.200000,10.400000,1.100000,1.700000,2.200000,0.700000,3.400000,0.200000,1.400000,0.200000,0,1,2.600000,66.300000,1,5.300000,0.100000,81.700000,1.400000,6645
2020/10/03 18:00:00+00,1.600000,80.700000,14.400000,48.400000,122.600000,117.800000,,3.900000,116.100000,149.700000,81.700000,0.600000,37.900000,48.500000,1.900000,3.700000,0.800000,20.900000,0.600000,0,1.700000,0.200000,13.600000,0.500000,2.900000,2.900000,0.500000,2,0.200000,0.800000,0,0,0.600000,1.500000,74.400000,1.100000,5.900000,0,61.100000,0.700000,6646
2020/10/03 19:00:00+00,4.900000,83.200000,12.400000,57.500000,136.500000,150.800000,,4.500000,164.600000,215.200000,82.300000,0.500000,49.300000,47.300000,1.400000,3.600000,0.600000,38.200000,0.400000,0.300000,1.600000,0.300000,6.200000,0.300000,4.300000,4,1.700000,2.100000,0.400000,1.500000,0.200000,2.800000,1.700000,2.500000,49.500000,2,4.100000,2.200000,84,1.100000,6647
2020/10/03 20:00:00+00,3.400000,55.400000,7.900000,32.300000,131.700000,89.500000,2.300000,2.500000,191,226.600000,69.100000,0.500000,29.800000,23.800000,2.900000,1.300000,1.100000,18.300000,1.800000,0,1.200000,0.300000,3.400000,0.700000,1.600000,2.600000,1.700000,4.100000,0.500000,2.700000,0.100000,0,1.200000,2.300000,30,4.700000,1.500000,2.800000,30.700000,2,6648
2020/10/03 21:00:00+00,5.800000,33.400000,10.900000,27.800000,51.100000,9.200000,7.900000,1.300000,140.800000,239.400000,65.300000,0.300000,35.500000,24.600000,2.200000,2.100000,0.700000,18.800000,4,0,0.800000,0.900000,4.100000,2.900000,2,3.600000,3.800000,5.200000,0.200000,2,0.100000,0,0.300000,1.700000,36.300000,0.600000,0.600000,1.700000,12.600000,1.800000,6649
2020/10/03 22:00:00+00,1.200000,27.900000,12.100000,27.100000,56.700000,12.700000,5.200000,2.500000,108.900000,232.100000,42.900000,0.400000,40.600000,17.900000,4,1.200000,1.200000,26.200000,1.200000,0,0.900000,0.500000,2.400000,2.500000,1.500000,4.200000,2.200000,3.800000,0.500000,1.400000,0,0,1.100000,1.800000,29.700000,0.500000,1,0.600000,10,1.100000,6650
2020/10/03 23:00:00+00,0.900000,21.900000,7.700000,19.500000,53.200000,21,3.300000,0.900000,54.300000,154,34.700000,0.200000,35,10.400000,1.600000,1.300000,0.400000,11.800000,0.400000,0,0.900000,0.600000,1.100000,1.200000,0.600000,2,0.800000,1.900000,0.500000,0.500000,0.100000,0,0,2.500000,24.200000,0.400000,0.200000,0,7.400000,1,6651
2020/10/04 00:00:00+00,0.700000,19.900000,7.400000,15.900000,19.300000,22.900000,2.300000,1,39.400000,82.800000,35.300000,0,15,6.600000,1.100000,1.100000,0.900000,16.900000,0.400000,0,0.500000,0.200000,0,1.300000,0.600000,1.800000,0.500000,1.500000,0.200000,0.300000,0.200000,0,0,1.300000,14.600000,0,0.500000,0,8,0.900000,6652
2020/10/04 01:00:00+00,0.300000,14.700000,6.700000,9.800000,17.200000,22.700000,0.200000,0.100000,21.900000,58.900000,26,0.100000,7.900000,5.300000,0.800000,0.300000,0.800000,8.400000,0.300000,0,0.800000,0.100000,0,1.600000,0.800000,1.400000,0.400000,0.900000,0,0.200000,0.200000,0,0,1,10.100000,0,0.400000,0,5.100000,0.300000,6653
2020/10/04 02:00:00+00,,6.600000,5.300000,7.100000,13.200000,16,0,0,15.100000,45.700000,16.900000,0.100000,14.200000,3.300000,0.600000,0.100000,0.600000,5.700000,1.100000,0,0.700000,0,0,0.700000,0.300000,1.300000,0.300000,0.800000,0,0.100000,0,0,0,0.800000,12.700000,0,0.100000,0,3.700000,1,6654
2020/10/04 03:00:00+00,0.800000,5.400000,5,3.100000,11.200000,14.400000,0,0,13.600000,32.400000,12.900000,0.100000,9,1.900000,0.700000,0.100000,0.900000,3.200000,0.400000,0,0.100000,0.100000,0,0.900000,0.300000,1,0.300000,0.700000,0,0,0,0,0,0.800000,5.300000,0,0.300000,0,3.300000,0.900000,6655
2020/10/04 04:00:00+00,0.400000,5.600000,4.600000,3,16.200000,13.300000,0.200000,0,14.300000,52.700000,12,0,2.900000,1.200000,0.700000,0,0.700000,2.700000,0.300000,0,0.700000,0.100000,0,0.900000,0.300000,0.800000,0.200000,0.700000,0,0.100000,0,0,0,1,3.800000,0.500000,0.200000,0,3.400000,0.500000,6656
2020/10/04 05:00:00+00,0.400000,6.900000,5.100000,1.200000,16.300000,21.800000,0.900000,0,10.800000,51.300000,21.300000,0,1.900000,2.400000,0.600000,0.200000,0.900000,1.300000,0,0,0.400000,0,0,1.100000,0.400000,0.900000,0.300000,0.500000,0,0.100000,0,0,0,1.100000,2.800000,0.400000,0,0,8,0.200000,6657
2020/10/04 06:00:00+00,0.400000,13,4.800000,4.200000,20.700000,23.800000,3,0,13.300000,49.400000,28.800000,0,9.500000,1.900000,1.300000,0.700000,0.600000,1.500000,0.400000,0,0.700000,0.200000,0.100000,1.100000,0.600000,1.500000,0.400000,0.600000,0,0.100000,0.200000,0,0,0.900000,3.400000,0.100000,0.100000,0,8.300000,0.200000,6658
2020/10/04 07:00:00+00,0.500000,18.300000,5.600000,5.100000,28.900000,25.900000,4,0,20.300000,59.400000,28.300000,0.100000,13.500000,1.400000,0.900000,1.500000,1,1.900000,1,0,0.900000,0.300000,1.400000,1.500000,0.600000,1.100000,0.500000,1,0,0.300000,0.100000,0,0,1.100000,3,0,0.700000,0,12.800000,0.700000,6659
2020/10/04 08:00:00+00,0.800000,29.400000,5.800000,7.500000,41.500000,39.500000,3.700000,0.700000,25.800000,63.700000,37.700000,0.400000,8.700000,2.200000,0.900000,1.600000,0.600000,3,0.900000,0,0.700000,0.400000,0.600000,1.900000,0.700000,1.500000,0.500000,1.800000,0.600000,0.500000,0.200000,0,0,1.100000,4.200000,0.200000,0.500000,0,13.300000,1.400000,6660
2020/10/04 09:00:00+00,1.500000,40,7.400000,11.300000,47.800000,41.400000,2.900000,1.500000,33.100000,80.200000,41.900000,1,11.700000,5.100000,1.800000,2.300000,1,4.700000,0.800000,0,1.500000,0.900000,1.300000,2.100000,1.400000,1.700000,0.700000,3,1.100000,0.800000,0.100000,0,0.900000,1.400000,5.100000,0.100000,1.400000,0.200000,21.500000,0.500000,6661
2020/10/04 10:00:00+00,2.100000,48.400000,8.100000,15,56.600000,45.200000,3.200000,1.900000,36.600000,70,40.900000,1.200000,7.700000,4.200000,1.900000,2.200000,1.200000,5.200000,1.200000,0.500000,1.700000,1,0.700000,2.100000,1.600000,2.100000,0.900000,3.300000,1.600000,1.200000,0.100000,0,1,1.900000,7.600000,0.200000,1.600000,0.100000,22,1,6662
2020/10/04 11:00:00+00,2.400000,48.700000,10.900000,17.800000,53.700000,55.900000,3.600000,2.600000,33.800000,80,49,1.700000,9.900000,5.700000,2.600000,2.600000,1.500000,6,1.900000,0.800000,2,1.100000,1.100000,2.600000,1.400000,2.800000,1.100000,3.100000,1.500000,1.700000,0.100000,0,2,2.500000,7.400000,0.900000,1.600000,1,28.200000,1.400000,6663
2020/10/04 12:00:00+00,2.700000,31.100000,12.200000,18.300000,57.900000,40.800000,4.300000,2.700000,37.400000,89.800000,47.600000,1.800000,8.800000,6.300000,2.100000,3.200000,1.500000,6.300000,1.400000,0.200000,1.500000,0.800000,0.500000,2.100000,1.100000,3,1,3.200000,1.900000,1.300000,0.400000,0,1.300000,2.400000,8.700000,0.800000,1.600000,0.500000,37,1.200000,6664
2020/10/04 13:00:00+00,1.700000,35.100000,9.400000,22.800000,52.500000,73.400000,4.700000,2.800000,36.200000,108.400000,55.700000,1.400000,9.500000,5,2.400000,2.500000,1,4.700000,1.200000,0.500000,1.900000,0.900000,0.400000,2,1.300000,2.700000,0.900000,3.900000,2,1.100000,0,0,2,1.800000,9.900000,0.500000,2.500000,0.300000,39.600000,0.800000,6665
2020/10/04 14:00:00+00,2.100000,64.200000,10.600000,21.800000,55,63.100000,2.600000,2.600000,40.100000,88.100000,48.700000,2.500000,19.200000,5,2.100000,2.700000,1.400000,6.800000,1.400000,0,1.800000,1,0.300000,1.900000,1.300000,2.200000,1,4.600000,1.600000,1.300000,0.100000,0,1.600000,2,13.100000,0.600000,2.100000,0.200000,36.200000,1,6666
2020/10/04 15:00:00+00,2.100000,71.700000,11.200000,23.300000,54.600000,58.700000,3.300000,2.400000,45.900000,82,42.900000,1.200000,11.500000,6.600000,1.800000,2.500000,1.200000,7,1.300000,0,1.500000,1,0.400000,3,0.900000,2.100000,0.700000,2.800000,1.100000,1,0,0,1.200000,1.800000,16.900000,0.500000,2.500000,0.200000,23.200000,1.200000,6667
2020/10/04 16:00:00+00,2.200000,65,11.100000,25.500000,93.900000,52.100000,5,2.100000,37.500000,75.600000,41.600000,0.600000,14.900000,9.700000,1.500000,2.800000,0.800000,5.100000,0.800000,0,1,0.600000,0.800000,2.300000,1.100000,2.100000,0.800000,1.700000,0.900000,0.900000,0.500000,0,1.200000,1.200000,21.300000,0.400000,0.800000,0.300000,33.800000,1.200000,6668
2020/10/04 17:00:00+00,2,57.300000,14,35.700000,97.900000,62.700000,6,3,61.200000,73,76.600000,1.300000,18.300000,8.300000,1.800000,2.600000,0.900000,8.100000,1.300000,0,1.400000,0.600000,0.700000,3,1.300000,2.700000,0.700000,2.400000,1.200000,1,0,0,1,1.700000,24.900000,0.300000,1.400000,0.200000,46.400000,1.200000,6669
2020/10/04 18:00:00+00,1.300000,52.600000,12.400000,29.600000,94.700000,89.400000,4.800000,2.600000,62.400000,86.300000,81.500000,0.600000,25.700000,6,1.900000,3.100000,0.800000,5,0.900000,0,0.600000,0.500000,2.500000,2.900000,1.200000,2.300000,0.500000,2.800000,0.700000,0.600000,0.200000,0,0.100000,1.100000,14.300000,0.100000,1.100000,0,54.900000,1,6670
2020/10/04 19:00:00+00,1.200000,40.100000,10.900000,18.700000,69.500000,57,2.700000,2,53.200000,88.400000,59,0.400000,16.600000,5.500000,2.700000,2.400000,0.700000,8.100000,1.100000,0,1.200000,0.300000,0.300000,3.200000,0.700000,1.800000,0.600000,3,0.700000,0.300000,0.200000,0,0,1,9.500000,0,0.900000,0,42.100000,1,6671
2020/10/04 20:00:00+00,1,26.900000,9.800000,17.800000,51.900000,87.600000,1.600000,1.400000,54.300000,80.800000,65.700000,0.300000,19.100000,5.600000,2.300000,1.400000,0.600000,4.700000,0.600000,0,0.900000,0.300000,1.500000,3.100000,0.800000,1.900000,0.500000,2.100000,0.200000,0.200000,0,0,0,0.900000,8.600000,0.700000,1.500000,0,38.500000,0.200000,6672
2020/10/04 21:00:00+00,1,18.800000,7.500000,13.900000,30.500000,65,0.600000,0.900000,37.700000,73.600000,53.200000,0.500000,11.700000,6.200000,1.500000,1.200000,0.800000,3.500000,0.600000,0,1.100000,0.100000,1.700000,2.100000,0.700000,1.900000,0.500000,2.400000,0.500000,0.400000,0,0,0,0.900000,7.700000,0.200000,1.800000,0,31.800000,1.100000,6673
2020/10/04 22:00:00+00,0.700000,11,5.900000,9.900000,20.800000,38.800000,0.500000,1,23.100000,69,32.900000,0,9.200000,3.600000,1.100000,0.800000,0.700000,3.500000,0.400000,0,0.700000,0.100000,0,1.700000,0.500000,1.300000,0.400000,2.600000,0.500000,0.200000,0.100000,0,0,0.900000,8.900000,0.300000,0.800000,0,17.900000,0.400000,6674
2020/10/04 23:00:00+00,0.500000,6.200000,4.800000,8.900000,11.900000,29,0.200000,0.300000,13.900000,43.500000,22.200000,0.100000,8.700000,1.900000,0.700000,0.700000,0.800000,2.500000,0.500000,0,0.600000,0.200000,1.400000,1.400000,0.400000,0.900000,0.200000,1.700000,0,0.200000,0.200000,0,0,1,5,0.600000,0.200000,0,14.500000,0.300000,6675
2020/10/05 00:00:00+00,0.300000,10.300000,3.700000,4.800000,13,21,0,0,13.100000,27.200000,12.500000,0,8.600000,1,0.500000,0.300000,0.800000,3.100000,0.300000,0,0.500000,0,0,1.700000,0.300000,0.500000,0.200000,1,0,0,0.100000,0,0,1,3.500000,0,0.200000,0,8.600000,0.800000,6676
2020/10/05 01:00:00+00,0.500000,4.500000,3.600000,2.300000,5.400000,16.400000,0,0,7,20.800000,6.600000,0,4.500000,0.900000,0.600000,0.200000,0.600000,1.600000,0.800000,0,0.800000,0.200000,0.100000,1.500000,0.300000,0.700000,0.200000,1.900000,0,0,0.100000,0,0,0.700000,3.100000,0.400000,0,0,4.800000,0.900000,6677
2020/10/05 02:00:00+00,0.200000,6,4.200000,2.300000,9.100000,17.300000,0,0,6.700000,18.300000,7.600000,0.200000,1.800000,0.600000,0.400000,0.100000,0.600000,1.300000,1.100000,0,0.700000,0.100000,0,1.700000,0.400000,0.800000,0.200000,0.800000,0.100000,0,0.100000,0,0,0.700000,9.300000,0.400000,0.700000,0,4.800000,0.200000,6678
2020/10/05 03:00:00+00,0.700000,12.300000,3.500000,2,19.900000,31.600000,0.500000,0,9.700000,29.200000,13.700000,0.200000,4.500000,0.700000,1,0,0.500000,2,0.900000,0,0.300000,0.100000,0,1.300000,0,0.400000,0.200000,0.600000,0,0,0,0,0,1,6.500000,0.300000,0.100000,0,5.200000,0.400000,6679
2020/10/05 04:00:00+00,0.300000,29,4.500000,7.100000,51.700000,67,2.300000,0.600000,28.900000,80,37.500000,0.400000,3.800000,3.200000,0.800000,0.300000,0.700000,1.700000,0.400000,0,0.700000,0.300000,0.100000,2.100000,0.400000,1,0.300000,1.400000,0,0,0.100000,0,0,1.500000,4.300000,0.200000,0.800000,0,15.900000,0.700000,6680
2020/10/05 05:00:00+00,0.800000,55.100000,8.400000,20,97.700000,78.800000,5.100000,2,64.300000,90.600000,73,0.700000,4.300000,7.800000,1.900000,2,0.800000,8,2.400000,0,0.800000,0.700000,0.900000,3,0.900000,2.100000,0.500000,1.900000,0.700000,0.200000,0.100000,0,0.100000,2.100000,12,0.100000,0.300000,0.200000,22.300000,1.200000,6681
2020/10/05 06:00:00+00,1.900000,109.300000,27,45.300000,103.400000,64.300000,5.700000,5.800000,102.500000,99.600000,50.800000,1.900000,26.400000,16.900000,2.900000,5.500000,1,14.500000,3.300000,0,1,0.900000,3,5.800000,2.300000,3.300000,0.800000,3.100000,1.600000,0.900000,0,0,0.900000,2.300000,20.500000,1.300000,0.600000,2,21.900000,1.200000,6682
2020/10/05 07:00:00+00,1.800000,108.700000,61.800000,68.300000,127.400000,73.900000,8.500000,7.300000,101.200000,119.300000,50,2.400000,36.200000,32.800000,4.200000,8.400000,0.800000,23.800000,4.700000,0.300000,3.100000,2.200000,7.400000,8.500000,4.400000,4,2.500000,4.300000,2.500000,2,0.100000,0,2.200000,3.100000,47.800000,2.100000,1.200000,4.800000,17.700000,2.200000,6683
2020/10/05 08:00:00+00,3.800000,99.600000,47.800000,79,127.500000,65,7.700000,8,97.800000,133.400000,53,4.300000,37.600000,28.500000,,9.700000,1.200000,31,3.500000,1.200000,4.300000,3,3.800000,5.300000,3,4.600000,3.400000,5.800000,3.400000,3,0,0,3.400000,4,41.500000,1.500000,1.800000,5.400000,23.800000,3.600000,6684
2020/10/05 09:00:00+00,3.700000,84.600000,35.800000,75.900000,91.900000,54.900000,9.100000,6.600000,130.900000,,54.900000,4.100000,44.500000,,,8.200000,2,26.600000,3.100000,1.200000,2.600000,3.600000,3.200000,5.100000,2.600000,4.700000,2.800000,6.100000,4,3.900000,0.100000,0,5.300000,4.200000,56.100000,1.300000,3,5.500000,25.200000,2.500000,6685
2020/10/05 10:00:00+00,4,72,31.200000,65.200000,101.200000,49,7.800000,6.300000,108.500000,141.600000,38.100000,4.200000,43.500000,20.300000,8.500000,5.800000,1.600000,25.300000,3.800000,1.200000,2.300000,6.600000,2.200000,5.400000,3,5,3.300000,4.900000,4,3.500000,0.300000,0,4.700000,4,,1.800000,3.800000,4.200000,15.100000,2.400000,6686
2020/10/05 11:00:00+00,2.900000,77.700000,14.400000,53.400000,93.300000,54.100000,7.900000,4,101.700000,181.400000,60,3,29.500000,14.800000,6.400000,5.800000,1.400000,19.100000,2.600000,1.200000,2.300000,3.700000,2.600000,4.500000,2.700000,4.400000,2.200000,4.100000,3.200000,2.900000,0.200000,0.100000,2.600000,3.800000,36.300000,1.400000,2.900000,3.600000,16.200000,2.400000,6687
2020/10/05 12:00:00+00,3.300000,97.600000,19.900000,49.400000,105.400000,58.800000,9.200000,5.500000,82.800000,122.400000,46.100000,2.700000,12.300000,16.900000,7,5.400000,1.700000,19.400000,2.500000,1.200000,1.800000,4.200000,2.600000,,4.300000,4.300000,2.700000,4.800000,2.500000,2.600000,0.300000,0,3.100000,3.700000,37.600000,1,2.300000,4.900000,16.900000,2.600000,6688
2020/10/05 13:00:00+00,3.100000,84.400000,20.400000,53.700000,93.400000,38.200000,8.200000,5.200000,80.500000,144.300000,49,3.500000,4,14.600000,6,4.900000,1.400000,20.400000,3.200000,0.900000,2.100000,5.400000,2.900000,,2.800000,3.600000,2.800000,4.800000,2.200000,2.100000,0.300000,0,2.600000,3,36.500000,1.600000,2.300000,3.500000,15.800000,2.400000,6689
2020/10/05 14:00:00+00,2.500000,87.700000,26.400000,50.300000,91.700000,70.700000,8.700000,6.300000,87.200000,141.300000,51.900000,2.900000,3.500000,18.400000,5,5.100000,1.400000,22.900000,,1,2.900000,5,3.800000,4.600000,3.200000,4,3.100000,4.600000,2.300000,2.100000,0.300000,0,2.800000,4,41.200000,1.500000,2.600000,4.400000,25.400000,2.400000,6690
2020/10/05 15:00:00+00,4.100000,92.100000,36.800000,97.900000,92.400000,107.900000,9.900000,9.300000,70.200000,107.700000,71.100000,4.300000,25.400000,18.100000,7.100000,6.300000,1.300000,21.400000,5.100000,1.800000,5.200000,3.200000,3,9,5.400000,4.900000,2.500000,7,3.300000,2.500000,0.100000,0,4.600000,6.300000,44.900000,1.700000,3.200000,3.200000,38.500000,3.100000,6691
2020/10/05 16:00:00+00,3.300000,109.200000,44.700000,67.900000,97.500000,104.100000,7.200000,8.800000,64.700000,107.900000,51.400000,3.600000,21.100000,24.700000,6.200000,6.400000,1.500000,20.700000,3.900000,1.100000,4.300000,2.300000,2.900000,7.100000,4.200000,4.800000,1.600000,5.900000,3.300000,2.600000,0.100000,0,3.100000,4.500000,48.700000,2.200000,2.700000,2.700000,19.600000,2.400000,6692
2020/10/05 17:00:00+00,1.700000,101.300000,32.500000,43.400000,81.500000,44.600000,4.600000,4.100000,55.300000,103.300000,29.300000,1.600000,26.800000,18.300000,4.400000,5.500000,1,14.200000,3.400000,0.300000,1.900000,1.600000,2.800000,5.200000,3.700000,2.600000,1.400000,3.500000,1.700000,1.800000,0.100000,0,1.200000,3.700000,51.200000,1.300000,1.100000,1.900000,15.200000,1.700000,6693
2020/10/05 18:00:00+00,1.100000,64.100000,21.600000,37,60.200000,35.300000,4.900000,2.700000,40.700000,117.300000,35.500000,1.600000,36.500000,8.500000,2.600000,4.900000,0.700000,12.100000,2.800000,0,0.700000,0.700000,4.300000,4.400000,2.600000,2.100000,0.900000,2.200000,0.700000,1.100000,0,0,0.400000,2.100000,35.400000,1.300000,1.100000,1,11.900000,0.900000,6694
2020/10/05 19:00:00+00,0.800000,36.600000,14.100000,28.300000,49.800000,17.200000,2.600000,1.500000,49.300000,95.300000,20.900000,0.600000,19.100000,8.200000,1.700000,2.500000,0.800000,8.800000,1.900000,0,0.800000,0.400000,0.800000,3.400000,1.400000,1.800000,0.800000,2.400000,0.400000,0.600000,0.100000,0,0,1.500000,16.900000,0.700000,0.900000,0.200000,6.200000,1,6695
2020/10/05 20:00:00+00,0.700000,30.700000,11,12.100000,29.400000,14.800000,1.400000,0.400000,42.400000,102.600000,14.900000,0.200000,26.600000,5.300000,1.300000,2.100000,1,7.600000,1.100000,0,0.600000,0.400000,0.700000,1,0.600000,1.900000,0.600000,1.300000,0.200000,0.600000,0,0,0,1.100000,13.700000,0.200000,0.500000,0.100000,4.700000,0.700000,6696
2020/10/05 21:00:00+00,0.400000,20.300000,11.800000,20.900000,30.500000,11.400000,0.600000,0.100000,46.700000,79.700000,18.200000,0.100000,10.100000,6.600000,1,1,1,4.300000,0.300000,0,0.600000,0.100000,0,1.700000,1,1.300000,0.500000,0.900000,0,0.200000,0.100000,0,0,1.100000,12.200000,2.300000,0.300000,0,3.800000,1.300000,6697
2020/10/05 22:00:00+00,0.200000,20.200000,15.800000,14.600000,19.600000,18.100000,0.600000,0.200000,42.500000,68.400000,23,0.200000,7.200000,3.100000,1,1,0.800000,3.700000,0,0,0.700000,0.100000,0.100000,1.300000,0.600000,1.200000,0.500000,0.700000,0,0.100000,0.100000,0,0,0.900000,7.700000,0.100000,0.200000,0.100000,4.900000,0.900000,6698
2020/10/05 23:00:00+00,0.500000,16,11.500000,11.200000,10,25.900000,1.500000,0.300000,23.500000,43.500000,27.900000,0.200000,13.800000,2.600000,1,0.500000,0.900000,3.300000,0.500000,0,0.600000,0,0,1.500000,0.400000,1.400000,0.400000,0.900000,0,0.200000,0.100000,0,0,0.900000,5.100000,0.100000,0.300000,0,8.400000,0.600000,6699
2020/10/06 00:00:00+00,0.500000,10.500000,9.600000,4.600000,8.200000,18.300000,0.200000,0.300000,19.100000,32.100000,12.900000,0,5.500000,1,1.200000,0.400000,0.500000,2.800000,0.100000,0,0.400000,0,0,1.100000,0.300000,1,0.300000,0.500000,0,0,0.300000,0,0,0.900000,4.200000,0,0,0,5.600000,0.600000,6700
2020/10/06 01:00:00+00,0.300000,9,8.400000,3.300000,16.900000,14.600000,0,0.100000,19.300000,19.700000,12.600000,0,7.700000,0.700000,0.300000,0.100000,1,2.900000,0.200000,0,0.900000,0.100000,0,1.200000,0.400000,1.100000,0.400000,0.500000,0,0,0.100000,0,0,1,3,0.100000,0.800000,0,3.800000,0.700000,6701
2020/10/06 02:00:00+00,0.400000,6.600000,7.600000,3.700000,19.200000,22,0.100000,0.200000,27.900000,22.800000,6.300000,0.100000,4.300000,0.700000,0.500000,0.300000,0.500000,2,0.400000,0,0.500000,0.200000,0,1.100000,0.400000,1,0.200000,0.900000,0,0.100000,0,0,0,1,1.700000,0.200000,0.300000,0,5,0.800000,6702
2020/10/06 03:00:00+00,0.500000,10.500000,6.600000,3.200000,30.600000,41.200000,0.400000,0,22,39.500000,30.500000,0,6.400000,1.100000,0.500000,0.300000,0.800000,1.800000,0.600000,0,0.800000,0.200000,0,1.800000,0.500000,1,0.200000,1.500000,0,0.100000,0.100000,0,0,0.700000,2,0.100000,0.300000,0,9.500000,0.500000,6703
2020/10/06 04:00:00+00,0.600000,18,6.700000,7.100000,61.400000,70.100000,2.500000,0.400000,41.900000,88.100000,42.100000,0.500000,7.100000,3.400000,0.900000,0.800000,0.800000,2.700000,0.700000,0,0.400000,0.400000,0,1.400000,0.500000,1.400000,0.200000,2.200000,0.200000,0.200000,0.100000,0,0,0.800000,4.500000,0.200000,1,0,19.500000,1.200000,6704
2020/10/06 05:00:00+00,1.200000,58.100000,10.400000,16.100000,92.200000,99.100000,8.200000,1.900000,76.900000,118.600000,118.800000,3.700000,9.200000,3.600000,1.600000,2.900000,0.700000,4.900000,2.100000,0,0.600000,0.600000,0.400000,2.700000,1.900000,2.500000,1.400000,2.700000,0.700000,0.400000,0.300000,0,0.200000,2,9.100000,0.200000,0.800000,0.100000,38.500000,0.800000,6705
2020/10/06 06:00:00+00,1.800000,115.100000,20.700000,49.300000,106.500000,69.600000,7.100000,5.800000,108.900000,126.600000,60.100000,2.100000,18.600000,15.600000,3,5,0.800000,16.300000,4.100000,0,1.100000,1,4.900000,4.500000,2.300000,3.900000,1.600000,3.900000,1.300000,1,0.100000,0,2.600000,2,25.900000,1.200000,1.900000,1.300000,36.600000,1.100000,6706
